2K
3Anoppix
64 Studio
86-DOS
A/UX
Absolute Linux
AbulÉdu
Acados
ACP (Airline Control Program)
Adamantix
AdaOS
ADIOS
Adler Linux
Admelix
ADMIRAL
Admiral Linux
Adrenaline
AEGIS
aerolitheOS
AGNULA
Aimos
AIOS
AIX
AIX and AIXL
AIX/370
AIX/ESA
AIX-PS/2
Alcolix
Aleris Operating System
Alinex
aLinux
AliXe
Allegro
AllianceOS
Alpha OS
Alpine Linux
ALT Linux
Alto OS
amaroK Live
Amber
Amiga OS
AmigaOS
AMIGA-OS-1.2
AMIGA-OS-1.3
AMIGA-OS-2.0
AMIGA-OS-2.1
AMIGA-OS-3.0
AMIGA-OS-3.1
AMIGA-OS-3.5
AMIGA-OS-3.9
Amoeba
Amstrad
AMX RTOS
andLinux
Android
Android (Google TV)
Android 1.x
Android 2.x
Android 2.x Tablet
Android 3.x Tablet
Android 4.x
Android 4.x Tablet
Android 5.x
Android 5.x Tablet
Android Mobile
Android Tablet
Android Things
AneedA
AngelOS
Ankur
Annvix
AnNyung
Anonym.OS
Antarctica
ANTEMIUM
antiX
AOS/VS
Aperios
APODIO
APOLLO
Apollo Domain/OS
ApolloOS
Apostle
Apricity OS
aquamorph
Arabian
Arch Linux
ArcheOS
Archie
Archimedes OS
Ark Linux
Armed Linux
AROS
ArtistX
ARTOS
Arudius
Asbestos
AsianLinux
Asianux
ASork
ASP Linux
Astaro
AsteriskNOW
Athena
Athene
AtheOS
ATMission
Atomix
AtomsNet
Atomthreads
Augustux
Aurora
AuroraOS
Aurox
AUSTRUMI
AutoSense OS
B2D
BabelDisc
BackTrack
Bada
BAL
Baltix
Banyan VINES
Basic Executive System
Bayanihan
BearOps Linux
BeatrIX Linux
Beehive Linux
BeIA
BeleniX
Bent Linux
BeOS
BEOS-4.5.2
BEOS-5.0
Beowulf
Berry Linux
BestLinux
B-Free
BIG LINUX
BinToo
BioBrew
Bioknoppix
BKY
Black Cat Linux
BlackBerry 6
BlackBerry 7
BlackBerry OS
BlackBerry Tablet OS
BlackBerryOS
blackPanther
BLAG
Blin Linux
Bloody Stupid
Blue Cat Linux
BlueEyedOS
BlueLinux
Bluewall
Bodhi Linux
Bonzai Linux
Bootable Cluster CD
BOS
BOS1810
BoxOS
bpmk
Brillo
BRiX
BS2000
BS-2000
BS600
BSD
BSDi
BU Linux
Buffalo
BugnuX
BugOS
Burapha
ByzantineOS
C Executive
Caixa Mágica
Caldera Linux
Calmira
cAos
Carl.OS
Catix
Càtix
CCP (Computer Control Program)
CCux
CDlinux
CDOS
CEDAR
Cefarix
Censornet
CentOS
CGW
Chakra
Chaos
ChibiOS
Chimera
Chippewa OS
Choices
CHORUS
Chrome OS
Chromium OS
CHRYSALIS
Cinder OS
Cisco IOS
cl33n
ClarkConnect
ClearOS
Clicker32
cLIeNUX
Clonezilla Live
Clusterix
clusterKNOPPIX
